,LeagueId,SeasonId,RoundApiId
746,140,2016,140-2016-20
747,140,2016,140-2016-21
748,140,2016,140-2016-22
749,140,2016,140-2016-23
750,140,2016,140-2016-24
751,140,2016,140-2016-25
752,140,2016,140-2016-26
753,140,2016,140-2016-27
754,140,2016,140-2016-28
755,140,2016,140-2016-29
756,140,2016,140-2016-30
757,140,2016,140-2016-31
758,140,2016,140-2016-32
759,140,2016,140-2016-33
760,140,2016,140-2016-34
761,140,2016,140-2016-35
762,140,2016,140-2016-36
763,140,2016,140-2016-37
764,140,2016,140-2016-38
765,140,2017,140-2017-1
766,140,2017,140-2017-2
767,140,2017,140-2017-3
768,140,2017,140-2017-4
769,140,2017,140-2017-5
770,140,2017,140-2017-6
771,140,2017,140-2017-7
772,140,2017,140-2017-8
773,140,2017,140-2017-9
774,140,2017,140-2017-10
775,140,2017,140-2017-11
776,140,2017,140-2017-12
777,140,2017,140-2017-13
778,140,2017,140-2017-14
779,140,2017,140-2017-15
780,140,2017,140-2017-16
781,140,2017,140-2017-17
782,140,2017,140-2017-18
783,140,2017,140-2017-19
784,140,2017,140-2017-20
785,140,2017,140-2017-21
786,140,2017,140-2017-22
787,140,2017,140-2017-23
788,140,2017,140-2017-24
789,140,2017,140-2017-25
790,140,2017,140-2017-26
791,140,2017,140-2017-27
792,140,2017,140-2017-28
793,140,2017,140-2017-29
794,140,2017,140-2017-30
795,140,2017,140-2017-31
796,140,2017,140-2017-32
797,140,2017,140-2017-33
798,140,2017,140-2017-34
799,140,2017,140-2017-35
800,140,2017,140-2017-36
801,140,2017,140-2017-37
802,140,2017,140-2017-38
803,140,2018,140-2018-1
804,140,2018,140-2018-2
805,140,2018,140-2018-3
806,140,2018,140-2018-4
807,140,2018,140-2018-5
808,140,2018,140-2018-6
809,140,2018,140-2018-7
810,140,2018,140-2018-8
811,140,2018,140-2018-9
812,140,2018,140-2018-10
813,140,2018,140-2018-11
814,140,2018,140-2018-12
815,140,2018,140-2018-13
816,140,2018,140-2018-14
817,140,2018,140-2018-15
818,140,2018,140-2018-16
819,140,2018,140-2018-17
820,140,2018,140-2018-18
821,140,2018,140-2018-19
822,140,2018,140-2018-20
823,140,2018,140-2018-21
824,140,2018,140-2018-22
825,140,2018,140-2018-23
826,140,2018,140-2018-24
827,140,2018,140-2018-25
828,140,2018,140-2018-26
829,140,2018,140-2018-27
830,140,2018,140-2018-28
831,140,2018,140-2018-29
832,140,2018,140-2018-30
833,140,2018,140-2018-31
834,140,2018,140-2018-32
835,140,2018,140-2018-33
836,140,2018,140-2018-34
837,140,2018,140-2018-35
838,140,2018,140-2018-36
839,140,2018,140-2018-37
840,140,2018,140-2018-38
841,140,2019,140-2019-1
842,140,2019,140-2019-2
843,140,2019,140-2019-3
844,140,2019,140-2019-4
845,140,2019,140-2019-5
846,140,2019,140-2019-6
847,140,2019,140-2019-7
848,140,2019,140-2019-8
849,140,2019,140-2019-9
850,140,2019,140-2019-10
851,140,2019,140-2019-11
852,140,2019,140-2019-12
853,140,2019,140-2019-13
854,140,2019,140-2019-14
855,140,2019,140-2019-15
856,140,2019,140-2019-16
857,140,2019,140-2019-17
858,140,2019,140-2019-18
859,140,2019,140-2019-19
860,140,2019,140-2019-20
861,140,2019,140-2019-21
862,140,2019,140-2019-22
863,140,2019,140-2019-23
864,140,2019,140-2019-24
865,140,2019,140-2019-25
866,140,2019,140-2019-26
867,140,2019,140-2019-27
868,140,2019,140-2019-28
869,140,2019,140-2019-29
870,140,2019,140-2019-30
871,140,2019,140-2019-31
872,140,2019,140-2019-32
873,140,2019,140-2019-33
874,140,2019,140-2019-34
875,140,2019,140-2019-35
876,140,2019,140-2019-36
877,140,2019,140-2019-37
878,140,2019,140-2019-38
879,140,2020,140-2020-1
880,140,2020,140-2020-2
881,140,2020,140-2020-3
882,140,2020,140-2020-4
883,140,2020,140-2020-5
884,140,2020,140-2020-6
885,140,2020,140-2020-7
886,140,2020,140-2020-8
887,140,2020,140-2020-9
888,140,2020,140-2020-10
889,140,2020,140-2020-11
890,140,2020,140-2020-12
891,140,2020,140-2020-13
892,140,2020,140-2020-19
893,140,2020,140-2020-14
894,140,2020,140-2020-15
895,140,2020,140-2020-16
896,140,2020,140-2020-17
897,140,2020,140-2020-18
898,140,2020,140-2020-20
899,140,2020,140-2020-21
900,140,2020,140-2020-22
901,140,2020,140-2020-23
902,140,2020,140-2020-24
903,140,2020,140-2020-25
904,140,2020,140-2020-26
905,140,2020,140-2020-27
906,140,2020,140-2020-28
907,140,2020,140-2020-29
908,140,2020,140-2020-30
909,140,2020,140-2020-33
910,140,2020,140-2020-31
911,140,2020,140-2020-32
912,140,2020,140-2020-34
913,140,2020,140-2020-35
914,140,2020,140-2020-36
915,140,2020,140-2020-37
916,140,2020,140-2020-38
917,140,2021,140-2021-1
918,140,2021,140-2021-2
919,140,2021,140-2021-3
920,140,2021,140-2021-4
921,140,2021,140-2021-5
922,140,2021,140-2021-6
923,140,2021,140-2021-7
924,140,2021,140-2021-8
925,140,2021,140-2021-9
926,140,2021,140-2021-10
927,140,2021,140-2021-11
928,140,2021,140-2021-12
929,140,2021,140-2021-13
930,140,2021,140-2021-14
931,140,2021,140-2021-15
932,140,2021,140-2021-16
933,140,2021,140-2021-17
934,140,2021,140-2021-18
935,140,2021,140-2021-21
936,140,2021,140-2021-19
937,140,2021,140-2021-20
938,140,2021,140-2021-22
939,140,2021,140-2021-23
940,140,2021,140-2021-24
941,140,2021,140-2021-25
942,140,2021,140-2021-26
943,140,2021,140-2021-27
944,140,2021,140-2021-28
945,140,2021,140-2021-29
946,140,2021,140-2021-30
947,140,2021,140-2021-31
948,140,2021,140-2021-32
949,140,2021,140-2021-33
950,140,2021,140-2021-34
951,140,2021,140-2021-35
952,140,2021,140-2021-36
953,140,2021,140-2021-37
954,140,2021,140-2021-38
955,140,2022,140-2022-1
956,140,2022,140-2022-2
957,140,2022,140-2022-3
958,140,2022,140-2022-4
959,140,2022,140-2022-5
960,140,2022,140-2022-6
961,140,2022,140-2022-7
962,140,2022,140-2022-8
963,140,2022,140-2022-9
964,140,2022,140-2022-10
965,140,2022,140-2022-11
966,140,2022,140-2022-12
967,140,2022,140-2022-13
968,140,2022,140-2022-14
969,140,2022,140-2022-15
970,140,2022,140-2022-16
971,140,2022,140-2022-17
972,140,2022,140-2022-18
973,140,2022,140-2022-19
974,140,2022,140-2022-20
975,140,2022,140-2022-21
976,140,2022,140-2022-22
977,140,2022,140-2022-23
978,140,2022,140-2022-24
979,140,2022,140-2022-25
980,140,2022,140-2022-26
981,140,2022,140-2022-27
982,140,2022,140-2022-28
983,140,2022,140-2022-29
984,140,2022,140-2022-30
985,140,2022,140-2022-31
986,140,2022,140-2022-32
987,140,2022,140-2022-33
988,140,2022,140-2022-34
989,140,2022,140-2022-35
990,140,2022,140-2022-36
991,140,2022,140-2022-37
