,TeamApiId,Name,Code,Country,Founded,National,Logo
199,217,SC Braga,BRA,Portugal,1921.0,False,https://media.api-sports.io/football/teams/217.png
200,218,Tondela,TON,Portugal,,False,https://media.api-sports.io/football/teams/218.png
201,219,Vitoria Setubal,SET,Portugal,1910.0,False,https://media.api-sports.io/football/teams/219.png
202,221,Belenenses,BEL,Portugal,1919.0,False,https://media.api-sports.io/football/teams/221.png
203,222,Boavista,,Portugal,1903.0,False,https://media.api-sports.io/football/teams/222.png
204,223,Chaves,CHA,Portugal,1949.0,False,https://media.api-sports.io/football/teams/223.png
205,224,Guimaraes,GUI,Portugal,1922.0,False,https://media.api-sports.io/football/teams/224.png
206,225,Nacional,NAC,Portugal,1910.0,False,https://media.api-sports.io/football/teams/225.png
207,226,Rio Ave,RIO,Portugal,1939.0,False,https://media.api-sports.io/football/teams/226.png
208,228,Sporting CP,SPO,Portugal,1906.0,False,https://media.api-sports.io/football/teams/228.png
209,230,Estoril,EST,Portugal,1939.0,False,https://media.api-sports.io/football/teams/230.png
210,234,Pacos Ferreira,FER,Portugal,1950.0,False,https://media.api-sports.io/football/teams/234.png
211,240,Arouca,ARO,Portugal,1951.0,False,https://media.api-sports.io/football/teams/240.png
212,216,Portimonense,POR,Portugal,1914.0,False,https://media.api-sports.io/football/teams/216.png
213,220,Aves,AVE,Portugal,1930.0,False,https://media.api-sports.io/football/teams/220.png
214,227,Santa Clara,SAN,Portugal,1921.0,False,https://media.api-sports.io/football/teams/227.png
215,242,Famalicao,FAM,Portugal,1931.0,False,https://media.api-sports.io/football/teams/242.png
216,762,GIL Vicente,VIC,Portugal,1924.0,False,https://media.api-sports.io/football/teams/762.png
217,231,Farense,FAR,Portugal,1910.0,False,https://media.api-sports.io/football/teams/231.png
218,810,Vizela,VIZ,Portugal,1939.0,False,https://media.api-sports.io/football/teams/810.png
219,4716,Casa Pia,CAS,Portugal,1920.0,False,https://media.api-sports.io/football/teams/4716.png
220,15130,Estrela,,Portugal,2018.0,False,https://media.api-sports.io/football/teams/15130.png
221,21595,AVS,,Portugal,,False,https://media.api-sports.io/football/teams/21595.png
222,4724,Alverca,,Portugal,,False,https://media.api-sports.io/football/teams/4724.png
